LogType,EventID,Source,Time,Message
Application,-1034289066,CertEnroll,Tue Aug 19 09:02:34 2025,"WORKGROUP\DESKTOP-O62G3HO$ https://STM-KeyId-fb17d70d734870e919c4e8e603975e664e0e43de.microsoftaik.azure.net/templates/Aik/scep GetCACaps
 GET(78ms) GetCACaps A connection with the server could not be established 0x80072efd (WinHttp: 12029 ERROR_WINHTTP_CANNOT_CONNECT)"
Application,4107,Microsoft-Windows-CAPI2,Mon Aug 18 13:53:33 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Aug 18 13:53:32 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Aug 18 13:06:07 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Aug 18 13:06:07 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Aug 18 13:06:07 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Aug 18 13:06:06 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Aug 18 13:04:12 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Aug 18 13:04:12 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Aug 18 13:04:12 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Mon Aug 18 13:04:12 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,-1034289066,CertEnroll,Mon Aug 18 13:04:12 2025,"WORKGROUP\DESKTOP-O62G3HO$ https://STM-KeyId-fb17d70d734870e919c4e8e603975e664e0e43de.microsoftaik.azure.net/templates/Aik/scep GetCACaps
 GET(94ms) GetCACaps A connection with the server could not be established 0x80072efd (WinHttp: 12029 ERROR_WINHTTP_CANNOT_CONNECT)"
Application,4107,Microsoft-Windows-CAPI2,Mon Aug 18 12:55:02 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,1552,Microsoft-Windows-User Profiles Service,Mon Aug 18 12:52:20 2025,C:\Windows\System32\svchost.exe 4432 1600
Application,1002,Application Hang,Mon Aug  4 13:50:58 2025,Copilot.exe 1.25072.115.0 0xbe8 0x1dc0533d511e8b0 4294967295 C:\Program Files\WindowsApps\Microsoft.Copilot_1.25072.115.0_x64__8wekyb3d8bbwe\Copilot.exe b47deb70-a8c8-4b6f-91da-2877f01a8766 Microsoft.Copilot_1.25072.115.0_x64__8wekyb3d8bbwe App Quiesce
Application,4107,Microsoft-Windows-CAPI2,Fri Jul 18 13:15:49 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
Application,4107,Microsoft-Windows-CAPI2,Fri Jul 18 13:15:48 2025,"http://ctldl.windowsupdate.com/msdownload/update/v3/static/trustedr/en/authrootstl.cab The data is invalid.
"
